seqid,start,end,strand,length,product
NC_014532.2,57999,59303,+,1305,L-fuconate dehydratase
NC_014532.2,59487,60539,+,1053,TRAP transporter substrate-binding protein
NC_014532.2,60601,61086,+,486,TRAP transporter small permease
NC_014532.2,61083,62339,+,1257,TRAP transporter large permease
NC_014532.2,62365,63792,+,1428,FAD-binding oxidoreductase
NC_014532.2,63824,64996,+,1173,fumarylacetoacetate hydrolase family protein
NC_014532.2,65048,66625,+,1578,aldehyde dehydrogenase (NADP(+))
NC_014532.2,66731,67471,+,741,S1 RNA-binding domain-containing protein
NC_014532.2,67623,68582,+,960,glutathione synthase
NC_014532.2,68764,69321,+,558,YqgE/AlgH family protein
NC_014532.2,69384,69815,+,432,Holliday junction resolvase RuvX
NC_014532.2,69812,70456,-,645,hypothetical protein
NC_014532.2,70574,71602,-,1029,aspartate carbamoyltransferase
NC_014532.2,71646,73097,-,1452,PLP-dependent aminotransferase family protein
NC_014532.2,73265,73432,+,168,DUF1127 domain-containing protein
NC_014532.2,73528,74397,+,870,PhzF family phenazine biosynthesis protein
NC_014532.2,74411,75628,-,1218,multidrug effflux MFS transporter
NC_014532.2,75801,76445,-,645,maleylacetoacetate isomerase
NC_014532.2,76465,77484,-,1020,fumarylacetoacetate hydrolase family protein
NC_014532.2,77540,78847,-,1308,"homogentisate 1,2-dioxygenase"
NC_014532.2,78962,79420,+,459,MarR family winged helix-turn-helix transcriptional regulator
NC_014532.2,79450,80286,-,837,HTH-type transcriptional regulator BhcR
NC_014532.2,80533,81912,+,1380,sigma-54 dependent transcriptional regulator
NC_014532.2,81914,83923,+,2010,cache domain-containing protein
NC_014532.2,84169,85905,+,1737,OFA family MFS transporter
NC_014532.2,85985,87331,-,1347,uracil-xanthine permease family protein
NC_014532.2,87394,88749,-,1356,8-oxoguanine deaminase
NC_014532.2,89184,89771,+,588,spore coat U domain-containing protein
NC_014532.2,89789,90304,+,516,spore coat U domain-containing protein
NC_014532.2,90304,91068,+,765,molecular chaperone
NC_014532.2,91148,93457,+,2310,fimbria/pilus outer membrane usher protein
NC_014532.2,93457,94467,+,1011,spore coat U domain-containing protein
NC_014532.2,94509,95759,-,1251,phosphoglycerate dehydrogenase
NC_014532.2,96030,96314,+,285,exodeoxyribonuclease VII small subunit
NC_014532.2,96298,97182,+,885,"(2E,6E)-farnesyl diphosphate synthase"
NC_014532.2,97197,99164,+,1968,1-deoxy-D-xylulose-5-phosphate synthase
NC_014532.2,99283,100053,+,771,co-chaperone DjlA
NC_014532.2,100292,101845,+,1554,Na+/H+ antiporter NhaC family protein
NC_014532.2,101945,102235,-,291,hypothetical protein
NC_014532.2,102359,102994,-,636,GTP cyclohydrolase II
NC_014532.2,103124,104188,+,1065,uroporphyrinogen decarboxylase
NC_014532.2,104273,105133,+,861,polyamine aminopropyltransferase
NC_014532.2,105155,105646,-,492,hypothetical protein
NC_014532.2,105834,106760,-,927,LysR family transcriptional regulator
NC_014532.2,106906,107682,+,777,ferredoxin--NADP reductase
NC_014532.2,107890,108885,-,996,TRAP transporter substrate-binding protein
NC_014532.2,109032,109556,+,525,TRAP transporter small permease
NC_014532.2,109553,110851,+,1299,TRAP transporter large permease
NC_014532.2,110875,113244,+,2370,TIM-barrel domain-containing protein
NC_014532.2,113309,113647,-,339,P-II family nitrogen regulator
NC_014532.2,113803,115044,-,1242,ammonium transporter
NC_014532.2,115090,115428,-,339,P-II family nitrogen regulator
NC_014532.2,115721,116062,+,342,accessory factor UbiK family protein
NC_014532.2,116155,117660,+,1506,YifB family Mg chelatase-like AAA ATPase
NC_014532.2,117923,118900,+,978,type I-F CRISPR-associated endonuclease Cas1f
NC_014532.2,118897,122238,+,3342,type I-F CRISPR-associated helicase Cas3f
NC_014532.2,122631,124007,+,1377,type I-F CRISPR-associated protein Csy1
NC_014532.2,124000,124959,+,960,type I-F CRISPR-associated protein Csy2
NC_014532.2,124977,126008,+,1032,type I-F CRISPR-associated protein Csy3
NC_014532.2,126012,126581,+,570,type I-F CRISPR-associated endoribonuclease Cas6/Csy4
NC_014532.2,127239,128096,-,858,glycerophosphodiester phosphodiesterase family protein
NC_014532.2,128217,128837,+,621,DUF4202 domain-containing protein
NC_014532.2,128948,129226,+,279,hypothetical protein
NC_014532.2,129299,130555,-,1257,dicarboxylate/amino acid:cation symporter
NC_014532.2,130703,131464,-,762,dienelactone hydrolase family protein
NC_014532.2,131647,132885,+,1239,ABC transporter substrate-binding protein
NC_014532.2,132994,134313,-,1320,branched-chain amino acid ABC transporter permease
NC_014532.2,134310,135317,-,1008,branched-chain amino acid ABC transporter permease
NC_014532.2,135358,136062,-,705,ABC transporter ATP-binding protein
NC_014532.2,136149,136919,-,771,ABC transporter ATP-binding protein
NC_014532.2,136990,138435,-,1446,sodium-dependent transporter
NC_014532.2,138586,138906,-,321,hypothetical protein
NC_014532.2,139068,139412,+,345,I78 family peptidase inhibitor
NC_014532.2,139503,141329,-,1827,translational GTPase TypA
NC_014532.2,141528,142412,+,885,LysR family transcriptional regulator
NC_014532.2,142549,143445,+,897,hypothetical protein
NC_014532.2,143518,144786,+,1269,Xaa-Pro peptidase family protein
NC_014532.2,144816,145685,+,870,glycine betaine ABC transporter substrate-binding protein
NC_014532.2,146059,147465,+,1407,glutamate--ammonia ligase
NC_014532.2,147673,148254,+,582,DUF4124 domain-containing protein
NC_014532.2,148427,149473,+,1047,nitrogen regulation protein NR(II)
NC_014532.2,149466,150872,+,1407,nitrogen regulation protein NR(I)
NC_014532.2,150962,153154,-,2193,esterase-like activity of phytase family protein
NC_014532.2,153301,155118,-,1818,aminopeptidase P family protein
NC_014532.2,155122,156693,-,1572,peptide MFS transporter
NC_014532.2,157061,158020,+,960,hydroxymethylglutaryl-CoA lyase
NC_014532.2,158023,159228,+,1206,CaiB/BaiF CoA-transferase family protein
NC_014532.2,159294,160292,+,999,tripartite tricarboxylate transporter substrate binding protein
NC_014532.2,160289,160753,+,465,tripartite tricarboxylate transporter TctB family protein
NC_014532.2,160763,162259,+,1497,tripartite tricarboxylate transporter permease
NC_014532.2,162333,163670,+,1338,deoxyguanosinetriphosphate triphosphohydrolase
NC_014532.2,163683,164492,-,810,RimK family alpha-L-glutamate ligase
NC_014532.2,164500,165315,+,816,ribonuclease T2 family protein
NC_014532.2,165293,166201,-,909,nuclease-related domain-containing protein
NC_014532.2,166298,167155,+,858,NAD-dependent protein deacetylase
NC_014532.2,167389,167763,-,375,translation initiation factor Sui1
NC_014532.2,167864,169045,-,1182,alpha-hydroxy acid oxidase
NC_014532.2,169180,169917,+,738,GntR family transcriptional regulator
NC_014532.2,169914,171125,+,1212,D-mannonate dehydratase ManD
NC_014532.2,171138,172160,+,1023,Zn-dependent oxidoreductase
NC_014532.2,172230,173198,+,969,TRAP transporter substrate-binding protein
NC_014532.2,173274,173858,+,585,TRAP transporter small permease
NC_014532.2,173858,175138,+,1281,TRAP transporter large permease
NC_014532.2,175170,176654,+,1485,mannitol dehydrogenase family protein
NC_014532.2,176670,177848,+,1179,mannonate dehydratase
NC_014532.2,178039,180174,-,2136,TonB-dependent siderophore receptor
NC_014532.2,180500,181504,+,1005,siderophore-interacting protein
NC_014532.2,181557,182705,-,1149,fumarylacetoacetate hydrolase family protein
NC_014532.2,182833,184032,-,1200,ROK family transcriptional regulator
NC_014532.2,184318,185088,+,771,SDR family NAD(P)-dependent oxidoreductase
NC_014532.2,185134,186423,+,1290,ABC transporter substrate-binding protein
NC_014532.2,186507,187442,+,936,carbohydrate ABC transporter permease
NC_014532.2,187439,188269,+,831,carbohydrate ABC transporter permease
NC_014532.2,188282,189889,+,1608,glycoside hydrolase family 43 protein
NC_014532.2,189939,190976,+,1038,ABC transporter ATP-binding protein
NC_014532.2,191242,192585,+,1344,maltoporin
NC_014532.2,192661,194067,+,1407,sugar porter family MFS transporter
NC_014532.2,194172,195065,+,894,SMP-30/gluconolactonase/LRE family protein
NC_014532.2,195073,195792,-,720,HAD family phosphatase
NC_014532.2,195866,197173,-,1308,TRAP transporter large permease
NC_014532.2,197170,197772,-,603,TRAP transporter small permease
NC_014532.2,197832,198833,-,1002,TRAP transporter substrate-binding protein
NC_014532.2,198937,199914,-,978,D-glycerate dehydrogenase
NC_014532.2,199911,200906,-,996,sugar kinase
NC_014532.2,200903,202009,-,1107,substrate-binding domain-containing protein
NC_014532.2,202082,202912,-,831,helix-turn-helix transcriptional regulator
NC_014532.2,203083,204495,+,1413,aminotransferase
NC_014532.2,204586,205995,+,1410,APC family permease
NC_014532.2,206071,206745,-,675,HAD family phosphatase
NC_014532.2,206907,207764,-,858,helix-turn-helix transcriptional regulator
NC_014532.2,207876,209072,+,1197,MFS transporter
NC_014532.2,209147,209596,+,450,GNAT family N-acetyltransferase
NC_014532.2,209661,210725,-,1065,class II fructose-bisphosphate aldolase
NC_014532.2,210811,211980,-,1170,phosphoglycerate kinase
NC_014532.2,212017,213051,-,1035,type I glyceraldehyde-3-phosphate dehydrogenase
NC_014532.2,213281,214333,+,1053,class I fructose-bisphosphate aldolase
NC_014532.2,214430,216448,-,2019,transketolase
NC_014532.2,216462,217409,-,948,transaldolase
NC_014532.2,217500,218153,-,654,dihydroxyacetone kinase subunit DhaL
NC_014532.2,218178,219167,-,990,dihydroxyacetone kinase subunit DhaK
NC_014532.2,219541,220038,+,498,ribose 5-phosphate isomerase B
NC_014532.2,220112,221095,+,984,sugar-binding transcriptional regulator
NC_014532.2,221339,222451,+,1113,erythritol/L-threitol dehydrogenase
NC_014532.2,222514,223161,+,648,DUF2291 domain-containing protein
NC_014532.2,223192,224739,+,1548,sugar ABC transporter ATP-binding protein
NC_014532.2,224767,225909,+,1143,ABC transporter permease
NC_014532.2,225934,226884,+,951,D-ribose ABC transporter substrate-binding protein
NC_014532.2,226979,227461,-,483,"6,7-dimethyl-8-ribityllumazine synthase"
NC_014532.2,227891,229909,-,2019,transketolase
NC_014532.2,230250,231470,+,1221,methionine adenosyltransferase
NC_014532.2,231614,233299,+,1686,NAD-dependent DNA ligase LigB
NC_014532.2,233376,234785,+,1410,adenosylhomocysteinase
NC_014532.2,235015,235845,+,831,"UDP-2,3-diacylglucosamine diphosphatase"
NC_014532.2,235869,236417,-,549,TetR/AcrR family transcriptional regulator
NC_014532.2,236528,237187,+,660,glutathione S-transferase family protein
NC_014532.2,237184,238116,-,933,AEC family transporter
NC_014532.2,238336,239178,+,843,methylenetetrahydrofolate reductase [NAD(P)H]
NC_014532.2,239292,241475,-,2184,TRAP transporter fused permease subunit
NC_014532.2,241563,242540,-,978,TAXI family TRAP transporter solute-binding subunit
NC_014532.2,243055,243954,+,900,sugar phosphate isomerase/epimerase
NC_014532.2,244102,245001,+,900,hydroxypyruvate isomerase family protein
NC_014532.2,245038,246723,+,1686,GMC oxidoreductase
NC_014532.2,246723,247277,+,555,gluconate 2-dehydrogenase subunit 3 family protein
NC_014532.2,247326,248111,+,786,DUF1080 domain-containing protein
NC_014532.2,248129,248383,-,255,YheV family putative zinc ribbon protein
NC_014532.2,248444,250492,-,2049,oligopeptidase A
NC_014532.2,250740,252080,+,1341,sodium-dependent transporter
NC_014532.2,252097,252645,+,549,gamma carbonic anhydrase family protein
NC_014532.2,252758,253429,+,672,metal-dependent hydrolase
NC_014532.2,253405,254787,-,1383,sigma-54 dependent transcriptional regulator
NC_014532.2,254780,256699,-,1920,ATP-binding protein
NC_014532.2,256703,257476,-,774,FCD domain-containing protein
NC_014532.2,257783,258937,+,1155,FMN-dependent L-lactate dehydrogenase LldD
NC_014532.2,265061,266044,+,984,biotin--[acetyl-CoA-carboxylase] ligase
NC_014532.2,266041,266880,+,840,type III pantothenate kinase
NC_014532.2,267603,267971,+,369,preprotein translocase subunit SecE
NC_014532.2,267980,268513,+,534,transcription termination/antitermination protein NusG
NC_014532.2,268596,269027,+,432,50S ribosomal protein L11
NC_014532.2,269030,269722,+,693,50S ribosomal protein L1
NC_014532.2,269982,270485,+,504,50S ribosomal protein L10
NC_014532.2,270575,270949,+,375,50S ribosomal protein L7/L12
NC_014532.2,271183,275262,+,4080,DNA-directed RNA polymerase subunit beta
NC_014532.2,275349,279566,+,4218,DNA-directed RNA polymerase subunit beta'
NC_014532.2,279746,280120,+,375,30S ribosomal protein S12
NC_014532.2,280246,280716,+,471,30S ribosomal protein S7
NC_014532.2,280762,282882,+,2121,elongation factor G
NC_014532.2,282912,284105,+,1194,elongation factor Tu
NC_014532.2,284270,284581,+,312,30S ribosomal protein S10
NC_014532.2,284738,285376,+,639,50S ribosomal protein L3
NC_014532.2,285390,285998,+,609,50S ribosomal protein L4
NC_014532.2,285995,286291,+,297,50S ribosomal protein L23
NC_014532.2,286309,287139,+,831,50S ribosomal protein L2
NC_014532.2,287173,287448,+,276,30S ribosomal protein S19
NC_014532.2,287467,287799,+,333,50S ribosomal protein L22
NC_014532.2,287811,288509,+,699,30S ribosomal protein S3
NC_014532.2,288525,288938,+,414,50S ribosomal protein L16
NC_014532.2,288938,289129,+,192,50S ribosomal protein L29
NC_014532.2,289131,289391,+,261,30S ribosomal protein S17
NC_014532.2,289444,289815,+,372,50S ribosomal protein L14
NC_014532.2,289830,290147,+,318,50S ribosomal protein L24
NC_014532.2,290166,290705,+,540,50S ribosomal protein L5
NC_014532.2,290716,291021,+,306,30S ribosomal protein S14
NC_014532.2,291054,291446,+,393,30S ribosomal protein S8
NC_014532.2,291456,291986,+,531,50S ribosomal protein L6
NC_014532.2,291996,292346,+,351,50S ribosomal protein L18
NC_014532.2,292358,292858,+,501,30S ribosomal protein S5
NC_014532.2,292864,293046,+,183,50S ribosomal protein L30
NC_014532.2,293050,293484,+,435,50S ribosomal protein L15
NC_014532.2,293485,294816,+,1332,preprotein translocase subunit SecY
NC_014532.2,294869,294982,+,114,50S ribosomal protein L36
NC_014532.2,295188,295544,+,357,30S ribosomal protein S13
NC_014532.2,295584,295970,+,387,30S ribosomal protein S11
NC_014532.2,295983,296603,+,621,30S ribosomal protein S4
NC_014532.2,296686,297684,+,999,DNA-directed RNA polymerase subunit alpha
NC_014532.2,297724,298107,+,384,50S ribosomal protein L17
NC_014532.2,298255,301116,-,2862,excinuclease ABC subunit UvrA
NC_014532.2,301274,302668,+,1395,MFS transporter
NC_014532.2,302762,303379,+,618,single-stranded DNA-binding protein
NC_014532.2,303464,304630,-,1167,arylamine N-acetyltransferase
NC_014532.2,304874,305767,+,894,sugar nucleotide-binding protein
NC_014532.2,305764,306528,+,765,1-acyl-sn-glycerol-3-phosphate acyltransferase
NC_014532.2,306611,307825,-,1215,beta-ketoacyl-ACP synthase I
NC_014532.2,307839,308354,-,516,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
NC_014532.2,308422,309930,-,1509,deoxyribodipyrimidine photo-lyase
NC_014532.2,309984,310913,-,930,MerR family transcriptional regulator
NC_014532.2,310997,311365,-,369,sirohydrochlorin chelatase
NC_014532.2,311504,312412,+,909,TIGR01777 family oxidoreductase
NC_014532.2,312460,312933,-,474,nucleoside deaminase
NC_014532.2,313143,313775,+,633,LysE family translocator
NC_014532.2,313887,316820,-,2934,RNA polymerase-associated protein RapA
NC_014532.2,316943,317743,-,801,TlpA disulfide reductase family protein
NC_014532.2,317865,318080,+,216,hypothetical protein
NC_014532.2,318096,318698,-,603,LysE family translocator
NC_014532.2,318712,319542,-,831,AraC family transcriptional regulator
NC_014532.2,319676,320281,-,606,NTP transferase domain-containing protein
NC_014532.2,320278,321231,-,954,XdhC family protein
NC_014532.2,321218,322438,-,1221,cytochrome c
NC_014532.2,322439,322987,-,549,(2Fe-2S)-binding protein
NC_014532.2,322980,325769,-,2790,xanthine dehydrogenase family protein molybdopterin-binding subunit
NC_014532.2,326091,326906,-,816,"2,5-didehydrogluconate reductase DkgB"
NC_014532.2,326992,328239,-,1248,MFS transporter
NC_014532.2,328383,329270,+,888,LysR family transcriptional regulator
NC_014532.2,329245,330192,-,948,LysR family transcriptional regulator
NC_014532.2,330362,331705,+,1344,aspartate aminotransferase family protein
NC_014532.2,331895,333385,+,1491,CoA-acylating methylmalonate-semialdehyde dehydrogenase
NC_014532.2,333730,336957,+,3228,DEAD/DEAH box helicase
NC_014532.2,337273,338724,-,1452,aldehyde dehydrogenase family protein
NC_014532.2,338857,340173,-,1317,cytosine permease
NC_014532.2,340264,341895,-,1632,5-guanidino-2-oxopentanoate decarboxylase
NC_014532.2,341907,343289,-,1383,YjiH family protein
NC_014532.2,343356,344306,-,951,agmatinase
NC_014532.2,344478,345899,+,1422,sigma-54-dependent Fis family transcriptional regulator
NC_014532.2,345978,347366,+,1389,YfcC family protein
NC_014532.2,347369,348073,+,705,DUF1028 domain-containing protein
NC_014532.2,348136,349377,+,1242,M20 family metallo-hydrolase
NC_014532.2,349384,350133,-,750,FadR/GntR family transcriptional regulator
NC_014532.2,350307,351884,-,1578,sigma-54-dependent Fis family transcriptional regulator
NC_014532.2,351961,353409,-,1449,membrane protein
NC_014532.2,353453,354601,-,1149,iron-containing alcohol dehydrogenase
NC_014532.2,355159,356556,+,1398,sugar porter family MFS transporter
NC_014532.2,356641,356784,-,144,hypothetical protein
NC_014532.2,357252,358796,-,1545,sigma-54-dependent Fis family transcriptional regulator
NC_014532.2,359372,360496,+,1125,polysaccharide pyruvyl transferase family protein
NC_014532.2,361040,362041,-,1002,octaprenyl diphosphate synthase
NC_014532.2,362317,362628,+,312,50S ribosomal protein L21
NC_014532.2,362663,362920,+,258,50S ribosomal protein L27
NC_014532.2,363007,364194,+,1188,Obg family GTPase CgtA
NC_014532.2,364296,365435,+,1140,glutamate 5-kinase
NC_014532.2,365648,365914,+,267,30S ribosomal protein S20
NC_014532.2,366204,367727,+,1524,murein biosynthesis integral membrane protein MurJ
NC_014532.2,367811,368842,+,1032,bifunctional riboflavin kinase/FAD synthetase
NC_014532.2,368853,371687,+,2835,isoleucine--tRNA ligase
NC_014532.2,371698,372231,+,534,signal peptidase II
NC_014532.2,372256,372717,+,462,FKBP-type peptidyl-prolyl cis-trans isomerase
NC_014532.2,372741,373694,+,954,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NC_014532.2,373769,373897,+,129,hypothetical protein
NC_014532.2,373977,374384,+,408,type IV pilin protein
NC_014532.2,374407,374802,+,396,prepilin-type N-terminal cleavage/methylation domain-containing protein
NC_014532.2,374799,375272,+,474,PilW family protein
NC_014532.2,375269,376312,+,1044,hypothetical protein
NC_014532.2,376344,376898,-,555,GspH/FimT family pseudopilin
NC_014532.2,376970,378058,+,1089,glycine oxidase ThiO
NC_014532.2,378096,378356,-,261,PP0621 family protein
NC_014532.2,378467,380101,+,1635,NAD+ synthase
NC_014532.2,380244,381053,-,810,outer membrane protein assembly factor BamD
NC_014532.2,381214,382173,+,960,23S rRNA pseudouridine(1911/1915/1917) synthase RluD
NC_014532.2,382170,382925,+,756,peptidoglycan editing factor PgeF
NC_014532.2,383110,385689,+,2580,ATP-dependent chaperone ClpB
NC_014532.2,386224,387948,+,1725,acetolactate synthase 3 large subunit
NC_014532.2,387948,388439,+,492,acetolactate synthase small subunit
NC_014532.2,388562,389569,-,1008,NAD(P)-dependent alcohol dehydrogenase
NC_014532.2,389660,390550,-,891,HTH-type transcriptional activator IlvY
NC_014532.2,390743,391759,+,1017,ketol-acid reductoisomerase
NC_014532.2,391897,392733,+,837,CDP-diacylglycerol--serine O-phosphatidyltransferase
NC_014532.2,399189,399695,+,507,hypothetical protein
NC_014532.2,399791,400609,-,819,Tim44 domain-containing protein
NC_014532.2,400716,401291,+,576,isochorismatase family protein
NC_014532.2,401338,402120,-,783,peroxide stress protein YaaA
NC_014532.2,402210,403241,-,1032,NADP(H)-dependent aldo-keto reductase
NC_014532.2,403472,403987,+,516,tetratricopeptide repeat protein
NC_014532.2,404069,404557,+,489,hypothetical protein
NC_014532.2,404554,405522,-,969,NAD(P)H-quinone oxidoreductase
NC_014532.2,405533,406093,-,561,TIGR00730 family Rossman fold protein
NC_014532.2,406133,406654,-,522,DUF501 domain-containing protein
NC_014532.2,406626,406952,-,327,hypothetical protein
NC_014532.2,407044,407526,-,483,Cys-tRNA(Pro) deacylase
NC_014532.2,407523,407933,-,411,thioesterase family protein
NC_014532.2,407989,408801,-,813,hypothetical protein
NC_014532.2,408830,409264,-,435,hypothetical protein
NC_014532.2,409326,410507,+,1182,MalY/PatB family protein
NC_014532.2,410571,413417,-,2847,valine--tRNA ligase
NC_014532.2,413589,414044,-,456,DNA polymerase III subunit chi
NC_014532.2,414232,414972,-,741,SDR family oxidoreductase
NC_014532.2,415058,416158,-,1101,branched-chain amino acid aminotransferase
NC_014532.2,416308,417828,-,1521,leucyl aminopeptidase
NC_014532.2,417964,419049,+,1086,LPS export ABC transporter permease LptF
NC_014532.2,419046,420110,+,1065,LPS export ABC transporter permease LptG
NC_014532.2,420126,420602,+,477,RDD family protein
NC_014532.2,420715,420921,+,207,(2Fe-2S)-binding protein
NC_014532.2,421071,421547,+,477,bacterioferritin
NC_014532.2,421815,422039,-,225,DUF1653 domain-containing protein
NC_014532.2,422055,422882,-,828,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA
NC_014532.2,422879,423649,-,771,pseudouridine synthase
NC_014532.2,423839,424573,+,735,NAD-dependent deacylase
NC_014532.2,424633,425424,+,792,tRNA-uridine aminocarboxypropyltransferase
NC_014532.2,425565,426206,-,642,alanyl-tRNA synthetase
NC_014532.2,426304,427212,+,909,LysR family transcriptional regulator
NC_014532.2,427226,428458,-,1233,TraB/GumN family protein
NC_014532.2,428548,429996,-,1449,TrkH family potassium uptake protein
NC_014532.2,430040,431413,-,1374,Trk system potassium transporter TrkA
NC_014532.2,431512,431718,-,207,dodecin
NC_014532.2,431760,433103,-,1344,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
NC_014532.2,433100,434080,-,981,methionyl-tRNA formyltransferase
NC_014532.2,434197,434709,-,513,peptide deformylase
NC_014532.2,434873,435973,+,1101,DNA-processing protein DprA
NC_014532.2,436056,436613,+,558,L-threonylcarbamoyladenylate synthase
NC_014532.2,436687,437622,+,936,oxygen-dependent coproporphyrinogen oxidase
NC_014532.2,437619,438431,+,813,shikimate dehydrogenase
NC_014532.2,438428,439462,+,1035,NADP-dependent oxidoreductase
NC_014532.2,439499,440296,-,798,M48 family metallopeptidase
NC_014532.2,440488,441351,+,864,ATP-binding protein
NC_014532.2,441460,442863,-,1404,ribosome biogenesis GTPase Der
NC_014532.2,442860,444008,-,1149,outer membrane protein assembly factor BamB
NC_014532.2,444005,444664,-,660,tetratricopeptide repeat protein
NC_014532.2,444695,445981,-,1287,histidine--tRNA ligase
NC_014532.2,446006,447121,-,1116,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
NC_014532.2,447127,448137,-,1011,RodZ domain-containing protein
NC_014532.2,448168,448890,-,723,type IV pilus biogenesis/stability protein PilW
NC_014532.2,448996,450123,-,1128,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
NC_014532.2,450243,450668,-,426,nucleoside-diphosphate kinase
NC_014532.2,450837,451163,-,327,iron-sulfur cluster assembly accessory protein
NC_014532.2,451347,452495,-,1149,IscS subfamily cysteine desulfurase
NC_014532.2,452542,453009,-,468,Rrf2 family transcriptional regulator
NC_014532.2,453118,454005,-,888,serine O-acetyltransferase
NC_014532.2,454082,454825,-,744,RNA methyltransferase
NC_014532.2,454996,455790,+,795,inositol monophosphatase family protein
NC_014532.2,455960,456301,+,342,hypothetical protein
NC_014532.2,456419,457345,-,927,protein translocase subunit SecF
NC_014532.2,457355,459205,-,1851,protein translocase subunit SecD
NC_014532.2,459343,459681,-,339,preprotein translocase subunit YajC
NC_014532.2,459762,460898,-,1137,tRNA guanosine(34) transglycosylase Tgt
NC_014532.2,460891,461970,-,1080,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
NC_014532.2,462582,462992,+,411,nucleoside diphosphate kinase regulator
NC_014532.2,463219,463839,+,621,LysE family translocator
NC_014532.2,463853,464377,-,525,YgjV family protein
